"Top 3000 query",Count
undefined,455859
ec,247628
eb,213814
"견미리팩트",178229
ed,159281
"현대홈쇼핑",120399
"아이오페",107701
b8,107489
"해외여행",105440
ac,102307
"알집매트",101004
"캐리어",98377
a4,97245
b4,95452
"골든구스",93287
8a,93256
ahc,92024
84,89068
"노트북",85509
"크림하우스",84289
b0,83132
a0,78582
"여성가방",76408
"아디다스",74232
ea,73415
95,73261
9d,72433
bc,71646
tv,68353
"나이키",67884
8c,66775
94,65512
"여행",65477
"시원스쿨",64997
"여성속옷세트",63194
98,63155
"침대",62497
"여성신발",62099
"에어쿠션",61946
"베리떼",61642
"휴롬",61468
"청소기",61168
"에어컨",60675
"원더브라",60328
"마스크팩",58866
"롯데홈쇼핑",58585
a6,57883
"자이글",57375
1,56971
"해피콜",56381
9c,54410
"여성속옷",54026
"속옷",53321
"냉장고",53291
88,53063
"블루래빗",52072
"이불",52037
"유모차",50962
"정관장",50777
"여성티셔츠",50208
"블라우스",50154
a7,50061
80,49867
"여성의류",49662
"공기청정기",48949
"홈앤쇼핑",48367
"침구세트",47843
"이케아",47425
"쿠쿠압력밥솥",46901
"아이크림",46008
"슈퍼스타",45868
"운동화",45851
"애플비",45649
8b,45239
"세탁기",45209
"아메리칸투어리스터",44603
"여행용캐리어",44444
a8,44214
"쇼파",43544
"견미리팩트시즌5",42213
"맥스클리닉",41740
"가방",41663
90,40947
"슬립온",40916
"선글라스",40689
"cj홈쇼핑",40594
"모이몰른",40547
"여성슬립온",40469
"정수기",40419
"커튼",39328
b9,39091
"더페이스샵",38684
"매직캔",38346
"아토팜",37751
"여성",37342
"실크테라피",37191
"크림하우스매트",37111
"신발",37091
97,36900
"트레이닝복세트",36877
"여성블라우스",36861
81,36674
"퍼실",36591
"다이슨무선청소기",36380
"견과류",35358
"화장품",35235
"핸드폰",35079
"여성바지",34826
"암막커튼",34457
"다이슨",33706
"리리코스",33058
b2,32963
8d,32583
"해외여행패키지",32258
"냄비세트",31409
96,31309
"코렐",31172
"이불세트",31162
"홍삼",30955
"여성구두",30723
"남성",30695
"블루래빗전집",29751
"파운데이션",29661
"라네즈",29571
"견미리",29309
"백팩",28892
9e,28877
"그릇세트",28574
"gs홈쇼핑",28212
"기초화장품세트",28130
"티셔츠",27861
